#
#
Distance,SURFACE LIBRE:10.0_0
(m),(-)
8.393157547245971628e+00,1.747853636741638184e+00
8.400180560777789296e+00,1.747559905052185059e+00
8.493493944275723351e+00,1.743771314620971680e+00
8.500183164511811995e+00,1.743499517440795898e+00
8.593831294958542699e+00,1.739817738533020020e+00
8.600185768245847129e+00,1.739567756652832031e+00
8.694167691988257118e+00,1.736008763313293457e+00
8.700187418326892796e+00,1.735780715942382812e+00
8.794504089415454473e+00,1.732360601425170898e+00
8.800190022060908390e+00,1.732154488563537598e+00
8.894840486445145800e+00,1.728890180587768555e+00
8.900191671744529742e+00,1.728705525398254395e+00
8.995177837128045084e+00,1.725614070892333984e+00
9.000194275478545336e+00,1.725450754165649414e+00
9.095514234157734634e+00,1.722548723220825195e+00
9.100196879212585799e+00,1.722406148910522461e+00
9.195850631584811197e+00,1.719710946083068848e+00
9.200198529293516003e+00,1.719588518142700195e+00
9.296187982267658967e+00,1.717116832733154297e+00
9.300201133027538702e+00,1.717013359069824219e+00
9.396523425644232930e+00,1.714781880378723145e+00
9.400202782711202687e+00,1.714696645736694336e+00
9.496860776327176623e+00,1.712720751762390137e+00
9.500205386445220057e+00,1.712652325630187988e+00
9.597197173356867950e+00,1.710947155952453613e+00
9.600207036526185789e+00,1.710894227027893066e+00
9.697533570783992474e+00,1.709473729133605957e+00
9.700209640260267108e+00,1.709434628486633301e+00
9.797869967813744196e+00,1.708310961723327637e+00
9.800211290341170667e+00,1.708284020423889160e+00
9.898207318496574203e+00,1.707468152046203613e+00
9.900213893677992871e+00,1.707451462745666504e+00
9.998543715526425402e+00,1.706952452659606934e+00
1.000021554375888400e+01,1.706943869590759277e+00
1.009888106660660334e+01,1.706768512725830078e+00
1.010021910114659782e+01,1.706766128540039062e+00
1.019921650998374041e+01,1.706919193267822266e+00
1.020021979757444974e+01,1.706920742988586426e+00
1.029955481431975883e+01,1.707404732704162598e+00
1.030022335496172481e+01,1.707407951354980469e+00
1.039988930404333622e+01,1.708222627639770508e+00
1.040022405099316316e+01,1.708225369453430176e+00
1.050022760838030145e+01,1.709368705749511719e+00
1.050022760838030145e+01,1.709368705749511719e+00
1.050023333073663245e+01,1.709368824958801270e+00
1.060023021215454619e+01,1.710830807685852051e+00
1.060056495950236410e+01,1.710836768150329590e+00
1.070023186183977337e+01,1.712602615356445312e+00
1.070090040288295619e+01,1.712616443634033203e+00
1.080023446597514081e+01,1.714673280715942383e+00
1.080123775356585014e+01,1.714696884155273438e+00
1.090023611565876038e+01,1.717030048370361328e+00
1.090157415059570312e+01,1.717065215110778809e+00
1.100023871979029977e+01,1.719658374786376953e+00
1.100191054762643716e+01,1.719706654548645020e+00
1.110024036947486969e+01,1.722542881965637207e+00
1.110224694465628836e+01,1.722605586051940918e+00
1.120024297360644461e+01,1.725667238235473633e+00
1.120258429534179001e+01,1.725745558738708496e+00
1.130024462329264523e+01,1.729013800621032715e+00
1.130291973951351281e+01,1.729108810424804688e+00
1.140024722662977830e+01,1.732565760612487793e+00
1.140325709019746725e+01,1.732678294181823730e+00
1.150024887710911514e+01,1.736304283142089844e+00
1.150359348722715858e+01,1.736434936523437500e+00
1.160025243409891438e+01,1.740213155746459961e+00
1.160393179156322141e+01,1.740362524986267090e+00
1.170025313012945922e+01,1.744272828102111816e+00
1.170426628128726776e+01,1.744441270828247070e+00
1.180025668791453519e+01,1.748468160629272461e+00
1.180460458562324000e+01,1.748655796051025391e+00
1.190025738394498234e+01,1.752782464027404785e+00
1.190494002899983350e+01,1.752989053726196289e+00
1.200026094172951474e+01,1.757194995880126953e+00
1.200527737968306141e+01,1.757421255111694336e+00
1.210026259141345406e+01,1.761705160140991211e+00
1.210561377671283800e+01,1.761949300765991211e+00
1.220026519554495970e+01,1.766268134117126465e+00
1.220595112819041361e+01,1.766532659530639648e+00
1.230026684522850644e+01,1.770923137664794922e+00
1.230628657156714212e+01,1.771203041076660156e+00
1.240026944856536417e+01,1.775577664375305176e+00
1.240662392225046062e+01,1.775879740715026855e+00
1.250027109904406686e+01,1.780327439308166504e+00
1.250696031928015550e+01,1.780640959739685059e+00
1.260027465603386787e+01,1.785023450851440430e+00
1.260729766996304413e+01,1.785361051559448242e+00
1.270027535285906595e+01,1.789826750755310059e+00
1.270763311333983125e+01,1.790171861648559570e+00
1.280027890984905881e+01,1.794497966766357422e+00
1.280797141767580172e+01,1.794871687889099121e+00
1.290027960587950240e+01,1.799342870712280273e+00
1.290830686105237568e+01,1.799473881721496582e+00
1.300028316366401882e+01,1.800974607467651367e+00
1.300864421173548280e+01,1.800936222076416016e+00
1.310028576700095826e+01,1.800513744354248047e+00
1.310898156321341723e+01,1.800527572631835938e+00
1.320028741747961298e+01,1.800679922103881836e+00
1.320931796024310678e+01,1.800676226615905762e+00
1.330029002081628420e+01,1.800664186477661133e+00
1.330965435727288693e+01,1.800665616989135742e+00
1.340029167049993397e+01,1.800699710845947266e+00
1.340999075430287668e+01,1.800699830055236816e+00
1.350029427463156750e+01,1.800707459449768066e+00
1.351032810498569958e+01,1.800708532333374023e+00
1.360029592431511603e+01,1.800712466239929199e+00
1.361066354836230019e+01,1.800713658332824707e+00
1.370029852844652751e+01,1.800718784332275391e+00
1.371100089904529540e+01,1.800719857215881348e+00
1.380030017813023413e+01,1.800724744796752930e+00
1.381133729607501870e+01,1.800725460052490234e+00
1.390030278146692844e+01,1.800728917121887207e+00
1.391167369310471713e+01,1.800729393959045410e+00
1.400030443194520124e+01,1.800730228424072266e+00
1.401201009013465537e+01,1.800730109214782715e+00
1.410030798893521364e+01,1.800727486610412598e+00
1.411234839526556684e+01,1.800726890563964844e+00
1.420030868576059646e+01,1.800721287727355957e+00
