#
#
unit,VAR0:0_0,VAR0:1_0,VAR0:2_0,VAR0:3_0,VAR0:4_0,VAR0:5_0,VAR0:6_0,VAR0:7_0
3.599999435245990753e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.999583065509796143e-01,4.968443512916564941e-01,4.770545363426208496e-01,4.442725479602813721e-01,4.138181805610656738e-01
3.699998624622821808e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999999701976776123e-01,4.999313652515411377e-01,4.958514273166656494e-01,4.739178419113159180e-01,4.407016634941101074e-01,4.106355607509613037e-01
3.900000579655170441e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999998807907104492e-01,4.998774528503417969e-01,4.938675761222839355e-01,4.676443636417388916e-01,4.335593879222869873e-01,4.042731821537017822e-01
3.999998338520526886e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999997317790985107e-01,4.998056590557098389e-01,4.922488927841186523e-01,4.640644192695617676e-01,4.299333989620208740e-01,4.011181890964508057e-01
4.199999816715717316e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999994635581970215e-01,4.996619820594787598e-01,4.890145361423492432e-01,4.569029211997985840e-01,4.226819276809692383e-01,3.948125541210174561e-01
4.299997813999652863e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999989271163940430e-01,4.994848966598510742e-01,4.866341650485992432e-01,4.530226588249206543e-01,4.190405011177062988e-01,3.916885852813720703e-01
4.500000007450580597e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999978244304656982e-01,4.991305768489837646e-01,4.818765521049499512e-01,4.452593624591827393e-01,4.117596149444580078e-01,3.854468166828155518e-01
4.599998004734516144e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999957382678985596e-01,4.987300932407379150e-01,4.787083268165588379e-01,4.412006735801696777e-01,4.081366658210754395e-01,3.823561072349548340e-01
4.800000198185443878e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999915361404418945e-01,4.979292154312133789e-01,4.723747670650482178e-01,4.330793023109436035e-01,4.008939862251281738e-01,3.761825561523437500e-01
4.899998195469379425e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999840855598449707e-01,4.971086382865905762e-01,4.685175716876983643e-01,4.289258122444152832e-01,3.973071873188018799e-01,3.731266856193542480e-01
5.100000388920307159e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999690651893615723e-01,4.954681098461151123e-01,4.608051776885986328e-01,4.206133782863616943e-01,3.901370465755462646e-01,3.670242726802825928e-01
5.199998863041400909e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.999442696571350098e-01,4.939614236354827881e-01,4.564374387264251709e-01,4.164226949214935303e-01,3.865904211997985840e-01,3.640041351318359375e-01
5.400000102818012238e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.998943805694580078e-01,4.909502267837524414e-01,4.477016627788543701e-01,4.080372154712677002e-01,3.795002400875091553e-01,3.579743504524230957e-01
5.499998100101947784e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.998183846473693848e-01,4.884923100471496582e-01,4.430105090141296387e-01,4.038602411746978760e-01,3.759965002536773682e-01,3.549905121326446533e-01
5.700000770390033722e+00,5.000000000000000000e-01,4.999999701976776123e-01,4.996655583381652832e-01,4.835831522941589355e-01,4.336255490779876709e-01,3.955058753490447998e-01,3.689931929111480713e-01,3.490338921546936035e-01
5.799998767673969269e+00,5.000000000000000000e-01,4.999999105930328369e-01,4.994531273841857910e-01,4.800280928611755371e-01,4.287567138671875000e-01,3.913764059543609619e-01,3.655340075492858887e-01,3.460866808891296387e-01
6.000001914799213409e+00,5.000000000000000000e-01,4.999998211860656738e-01,4.990262389183044434e-01,4.729308784008026123e-01,4.190139472484588623e-01,3.831188976764678955e-01,3.586211204528808594e-01,3.402033448219299316e-01
6.099999435245990753e+00,5.000000000000000000e-01,4.999995231628417969e-01,4.984914958477020264e-01,4.683369696140289307e-01,4.140644967555999756e-01,3.790433704853057861e-01,3.552076816558837891e-01,3.372928798198699951e-01
6.300000198185443878e+00,5.000000000000000000e-01,4.999988973140716553e-01,4.974185228347778320e-01,4.591621756553649902e-01,4.041560888290405273e-01,3.708947896957397461e-01,3.483868837356567383e-01,3.314827382564544678e-01
6.399998195469379425e+00,5.000000000000000000e-01,4.999972879886627197e-01,4.962251484394073486e-01,4.537611901760101318e-01,3.992076814174652100e-01,3.668777942657470703e-01,3.450201153755187988e-01,3.286091089248657227e-01
6.600001819431781769e+00,5.000000000000000000e-01,4.999940395355224609e-01,4.938340783119201660e-01,4.429656565189361572e-01,3.892965316772460938e-01,3.588474392890930176e-01,3.382928669452667236e-01,3.228717148303985596e-01
6.699999816715717316e+00,5.000000000000000000e-01,4.999862909317016602e-01,4.915098547935485840e-01,4.370455741882324219e-01,3.844078481197357178e-01,3.548910319805145264e-01,3.349729180335998535e-01,3.200349807739257812e-01
6.900002010166645050e+00,5.000000000000000000e-01,4.999704957008361816e-01,4.868590533733367920e-01,4.252091348171234131e-01,3.746170699596405029e-01,3.469830453395843506e-01,3.283400535583496094e-01,3.143702745437622070e-01
6.999998576939105988e+00,5.000000000000000000e-01,4.999365210533142090e-01,4.829546809196472168e-01,4.190104305744171143e-01,3.698031306266784668e-01,3.430885672569274902e-01,3.250671029090881348e-01,3.115704655647277832e-01
7.199999339878559113e+00,5.000000000000000000e-01,4.998670816421508789e-01,4.751504957675933838e-01,4.066144824028015137e-01,3.601700663566589355e-01,3.353046476840972900e-01,3.185288608074188232e-01,3.059784173965454102e-01
7.299997813999652863e+00,5.000000000000000000e-01,4.997341632843017578e-01,4.694970548152923584e-01,4.003138840198516846e-01,3.554393053054809570e-01,3.314725160598754883e-01,3.153031766414642334e-01,3.032156229019165039e-01
7.500001437962055206e+00,5.000000000000000000e-01,4.994626045227050781e-01,4.582143723964691162e-01,3.877051174640655518e-01,3.459782898426055908e-01,3.238129019737243652e-01,3.088600635528564453e-01,2.976967692375183105e-01
7.599998958408832550e+00,5.000000000000000000e-01,4.990063011646270752e-01,4.510548710823059082e-01,3.814408183097839355e-01,3.413341641426086426e-01,3.200437128543853760e-01,3.056822121143341064e-01,2.949711382389068604e-01
7.800002105534076691e+00,5.000000000000000000e-01,4.980766773223876953e-01,4.367957413196563721e-01,3.688963055610656738e-01,3.320482373237609863e-01,3.125093877315521240e-01,2.993349730968475342e-01,2.895257174968719482e-01
7.899999149143695831e+00,5.000000000000000000e-01,4.967347085475921631e-01,4.286350607872009277e-01,3.627564907073974609e-01,3.274936378002166748e-01,3.088040053844451904e-01,2.962049543857574463e-01,2.868370413780212402e-01
8.100003249943256378e+00,5.000000000000000000e-01,4.940105676651000977e-01,4.123993217945098877e-01,3.504598140716552734e-01,3.183874785900115967e-01,3.013968169689178467e-01,2.899538278579711914e-01,2.814652621746063232e-01
8.199999816715717316e+00,5.000000000000000000e-01,4.907189011573791504e-01,4.037316143512725830e-01,3.444586992263793945e-01,3.139235675334930420e-01,2.977547943592071533e-01,2.868715822696685791e-01,2.788136005401611328e-01
8.400002487003803253e+00,5.000000000000000000e-01,4.840631186962127686e-01,3.864766061305999756e-01,3.324362933635711670e-01,3.049979805946350098e-01,2.904736995697021484e-01,2.807160615921020508e-01,2.735156416893005371e-01
8.500000961124897003e+00,5.000000000000000000e-01,4.775036275386810303e-01,3.777014017105102539e-01,3.265765905380249023e-01,3.006221950054168701e-01,2.868950963020324707e-01,2.776823639869689941e-01,2.709013819694519043e-01
8.700004585087299347e+00,5.000000000000000000e-01,4.642839133739471436e-01,3.602117598056793213e-01,3.148358166217803955e-01,2.918726801872253418e-01,2.797409892082214355e-01,2.716239094734191895e-01,2.656784951686859131e-01
8.800001151859760284e+00,5.000000000000000000e-01,4.537848532199859619e-01,3.516003787517547607e-01,3.091269135475158691e-01,2.875891923904418945e-01,2.762287259101867676e-01,2.686392962932586670e-01,2.631014585494995117e-01
9.000001914799213409e+00,5.000000000000000000e-01,4.326999187469482422e-01,3.344397246837615967e-01,2.976854741573333740e-01,2.790254354476928711e-01,2.692070901393890381e-01,2.626787126064300537e-01,2.579532265663146973e-01
9.099999435245990753e+00,5.000000000000000000e-01,4.189507365226745605e-01,3.261391222476959229e-01,2.921395599842071533e-01,2.748405933380126953e-01,2.657613754272460938e-01,2.597420811653137207e-01,2.554128468036651611e-01
9.300004966557025909e+00,5.000000000000000000e-01,3.914156854152679443e-01,3.095944821834564209e-01,2.810167074203491211e-01,2.664719820022583008e-01,2.588714063167572021e-01,2.538765966892242432e-01,2.503385543823242188e-01
9.400001533329486847e+00,5.000000000000000000e-01,3.760172426700592041e-01,3.015746176242828369e-01,2.756147682666778564e-01,2.623760998249053955e-01,2.554875910282135010e-01,2.509870827198028564e-01,2.478352189064025879e-01
9.600005157291889191e+00,5.000000000000000000e-01,3.451979458332061768e-01,2.856461107730865479e-01,2.647835612297058105e-01,2.541842460632324219e-01,2.487203478813171387e-01,2.452150285243988037e-01,2.428356707096099854e-01
9.700001724064350128e+00,5.000000000000000000e-01,3.296878933906555176e-01,2.779209911823272705e-01,2.595275640487670898e-01,2.501734495162963867e-01,2.454008311033248901e-01,2.423750162124633789e-01,2.403701841831207275e-01
9.900004394352436066e+00,5.000000000000000000e-01,2.986661195755004883e-01,2.626189291477203369e-01,2.489912509918212891e-01,2.421556860208511353e-01,2.387622147798538208e-01,2.367014139890670776e-01,2.354474514722824097e-01
1.000000000745058060e+01,5.000000000000000000e-01,2.841377556324005127e-01,2.552911639213562012e-01,2.439278960227966309e-01,2.382486313581466675e-01,2.355149984359741211e-01,2.339119762182235718e-01,2.330191731452941895e-01
1.020000267773866653e+01,5.000000000000000000e-01,2.553549706935882568e-01,2.407805770635604858e-01,2.337628901004791260e-01,2.304375320672988892e-01,2.290182262659072876e-01,2.283384054899215698e-01,2.281718254089355469e-01
1.029999924451112747e+01,3.333391547203063965e-01,2.419675737619400024e-01,2.338363081216812134e-01,2.288920283317565918e-01,2.266365438699722290e-01,2.258383035659790039e-01,2.255946993827819824e-01,2.257786095142364502e-01
1.050000191479921341e+01,0.000000000000000000e+00,2.153150737285614014e-01,2.201295495033264160e-01,2.190905511379241943e-01,2.190313339233398438e-01,2.194722443819046021e-01,2.201113253831863403e-01,2.210030257701873779e-01
1.060000134259462357e+01,0.000000000000000000e+00,2.030348032712936401e-01,2.134206891059875488e-01,2.143477499485015869e-01,2.153086662292480469e-01,2.163478881120681763e-01,2.174108177423477173e-01,2.186455726623535156e-01
1.080000878125429153e+01,0.000000000000000000e+00,1.776130646467208862e-01,2.003353089094161987e-01,2.047977149486541748e-01,2.078586369752883911e-01,2.100917547941207886e-01,2.120131999254226685e-01,2.139427810907363892e-01
1.090000534802675247e+01,0.000000000000000000e+00,1.671043336391448975e-01,1.939120143651962280e-01,2.001856565475463867e-01,2.042020261287689209e-01,2.070262432098388672e-01,2.093615233898162842e-01,2.116235345602035522e-01
1.110000801831483841e+01,0.000000000000000000e+00,1.466376334428787231e-01,1.815240085124969482e-01,1.909006386995315552e-01,1.968860030174255371e-01,2.008874416351318359e-01,2.040600478649139404e-01,2.069982439279556274e-01
1.120000458508729935e+01,0.000000000000000000e+00,1.387766748666763306e-01,1.756803393363952637e-01,1.865091919898986816e-01,1.933241933584213257e-01,1.978968381881713867e-01,2.014620453119277954e-01,2.047174572944641113e-01
1.140000630170106888e+01,0.000000000000000000e+00,1.242478415369987488e-01,1.641609370708465576e-01,1.776306033134460449e-01,1.861980855464935303e-01,1.919077187776565552e-01,1.962663978338241577e-01,2.001706510782241821e-01
1.150000286847352982e+01,0.000000000000000000e+00,1.179593876004219055e-01,1.587698310613632202e-01,1.734921932220458984e-01,1.827592998743057251e-01,1.889934688806533813e-01,1.937154680490493774e-01,1.979234367609024048e-01
1.170000267773866653e+01,0.000000000000000000e+00,1.059534847736358643e-01,1.482958942651748657e-01,1.650493890047073364e-01,1.758618354797363281e-01,1.831554621458053589e-01,1.886118948459625244e-01,1.934462636709213257e-01
1.180000019818544388e+01,0.000000000000000000e+00,9.906277060508728027e-02,1.431038379669189453e-01,1.610727310180664062e-01,1.725286394357681274e-01,1.802956610918045044e-01,1.860995292663574219e-01,1.912304311990737915e-01
1.200000572949647903e+01,0.000000000000000000e+00,8.495969325304031372e-02,1.335701793432235718e-01,1.529000401496887207e-01,1.658062636852264404e-01,1.745698153972625732e-01,1.810711771249771118e-01,1.868185847997665405e-01
1.210000229626893997e+01,0.000000000000000000e+00,7.505581527948379517e-02,1.284260898828506470e-01,1.490004807710647583e-01,1.625276058912277222e-01,1.717524379491806030e-01,1.786029040813446045e-01,1.846384704113006592e-01
1.230000496655702591e+01,0.000000000000000000e+00,5.344758182764053345e-02,1.193202063441276550e-01,1.410003751516342163e-01,1.558993756771087646e-01,1.661234050989151001e-01,1.736614406108856201e-01,1.803002804517745972e-01
1.240000153332948685e+01,0.000000000000000000e+00,4.286748915910720825e-02,1.143813505768775940e-01,1.372249573469161987e-01,1.526781022548675537e-01,1.633656173944473267e-01,1.712549626827239990e-01,1.781638115644454956e-01
1.260000229626893997e+01,0.000000000000000000e+00,2.177743427455425262e-02,1.053149253129959106e-01,1.295050084590911865e-01,1.461684703826904297e-01,1.578725874423980713e-01,1.664369106292724609e-01,1.739134639501571655e-01
1.270000077039003372e+01,0.000000000000000000e+00,1.657784730195999146e-02,1.010546609759330750e-01,1.259712278842926025e-01,1.430780142545700073e-01,1.552038788795471191e-01,1.640987396240234375e-01,1.718202680349349976e-01
1.290000534802675247e+01,0.000000000000000000e+00,6.633903365582227707e-03,9.250968694686889648e-02,1.187195181846618652e-01,1.368167996406555176e-01,1.499036252498626709e-01,1.594162732362747192e-01,1.676566898822784424e-01
1.300000286847352982e+01,0.000000000000000000e+00,4.899424500763416290e-03,8.911937475204467773e-02,1.154714897274971008e-01,1.339114457368850708e-01,1.473269015550613403e-01,1.571328490972518921e-01,1.655969023704528809e-01
